price,volume,sma
11.61,289356529,10.61
11.71,213673912,10.61
11.68,165409681,10.62
11.7,163679219,10.62
11.48,195072449,10.63
11.39,231042771,10.63
11.41,163113105,10.63
11.58,228806420,10.64
11.47,162302076,10.65
11.68,248006116,10.66
11.73,163313855,10.67
11.82,226469694,10.68
11.82,230617182,10.69
11.69,155886118,10.7
11.55,159391206,10.7
11.15,373908266,10.71
11.17,322496281,10.72
11.14,348710170,10.73
10.9,264331078,10.73
10.96,255156819,10.74
11.37,302477526,10.75
11.32,262343656,10.76
11.3,215316044,10.77
11.25,199854306,10.78
11.3,139135567,10.79
11.01,256048147,10.8
11.13,321877972,10.81
11.09,158359353,10.82
10.95,227212468,10.83
11.11,208687290,10.84
11.06,137372985,10.84
11.34,232801338,10.85
11.48,228079706,10.86
11.47,165068406,10.87
11.55,189118214,10.88
11.52,150208917,10.89
11.48,184352418,10.9
11.45,160137995,10.91
11.38,135714793,10.92
11.39,138457033,10.93
11.74,261046814,10.94
11.7,151718555,10.95
11.71,109039179,10.96
11.63,122943100,10.97
11.59,119618686,10.98
11.54,153051532,10.98
11.61,108721995,10.99
11.59,112211024,11.0
11.78,203877329,11.01
11.75,128885290,11.02
11.83,227670177,11.02
11.72,442034667,11.03
11.99,488283372,11.04
11.9,227834792,11.05
11.86,148341946,11.05
11.88,159266742,11.06
11.96,165614446,11.07
11.9,117466650,11.07
11.71,146193924,11.08
11.65,146876473,11.09
11.57,122967190,11.1
11.76,144306878,11.1
11.71,158592223,11.11
11.61,121256803,11.12
11.6,116639561,11.13
11.66,156179212,11.14
11.47,148004686,11.15
11.6,118205408,11.16
11.47,155488633,11.17
11.38,165377561,11.18
11.74,263150670,11.19
11.7,187122763,11.2
11.69,148390126,11.21
11.69,247295463,11.22
11.82,154135581,11.24
11.78,203166675,11.25
11.79,167569747,11.26
12.01,214741900,11.27
12.1,209502334,11.29
12.39,290918361,11.3
12.37,358310019,11.32
12.43,192679513,11.34
12.6,285104652,11.35
12.89,419450332,11.37
12.88,316650452,11.38
12.8,426813829,11.4
12.81,255281284,11.42
12.7,186604829,11.43
12.54,257742474,11.45
12.55,282414606,11.47
12.49,185540856,11.48
12.57,247889682,11.5
12.8,194161046,11.51
12.78,174864989,11.53
12.67,174178426,11.55
12.77,177049146,11.56
13.04,289228049,11.58
13.1,318188194,11.6
13.17,228433026,11.62
13.08,245842035,11.64
13.04,167360967,11.66
12.99,155805818,11.67
13.18,140026895,11.69
13.28,75152639,11.7
13.46,198457088,11.72
13.4,110291857,11.73
13.48,149751208,11.75
13.5,154818129,11.77
13.53,132868163,11.79
13.55,138179998,11.8
13.72,210269197,11.82
13.74,264969462,11.84
13.79,173792986,11.86
13.65,244111573,11.88
13.63,446756299,11.9
12.92,713556598,11.91
12.73,255221059,11.92
12.77,223719424,11.94
12.67,222631361,11.95
12.62,276368027,11.96
