price,volume,sma
7.42,3464244,14.72
7.24,5423541,14.66
7.88,4316185,14.6
7.81,2958448,14.55
8.16,2695064,14.49
7.68,3310045,14.44
8.37,3626692,14.39
8.3,4303463,14.35
8.8,2990042,14.3
9.07,4131649,14.26
9.1,2230509,14.22
9.03,2202829,14.18
8.58,2371288,14.14
8.48,2492914,14.1
8.17,1644328,14.05
8.33,2148866,14.0
8.09,3037714,13.95
8.44,2348360,13.9
8.33,3289913,13.85
8.21,2996613,13.81
10.02,18513155,13.78
10.27,6616874,13.75
11.01,7871020,13.72
11.02,4724960,13.7
11.79,5346371,13.68
11.32,4103130,13.66
11.82,2473062,13.63
11.72,1203958,13.61
11.65,2778525,13.58
10.9,3979547,13.56
10.33,5374052,13.53
10.23,2164104,13.49
10.14,3040930,13.46
9.9,3637177,13.42
10.36,3175557,13.38
10.46,3119637,13.34
10.37,3609776,13.3
10.38,2967535,13.25
10.64,2107345,13.2
10.5,1809851,13.15
10.17,2022487,13.09
10.12,2774890,13.04
10.87,5106475,12.98
11.19,4253415,12.93
11.0,1109453,12.88
11.05,1710034,12.82
10.99,1558351,12.77
10.87,2297333,12.71
10.84,1627971,12.66
11.55,3381063,12.6
11.5,2622508,12.56
12.05,5549501,12.51
11.94,3382880,12.47
11.36,3193871,12.42
11.81,4507711,12.38
12.01,4188967,12.34
11.84,1796710,12.29
12.02,4009604,12.24
11.4,3806474,12.19
11.28,2895258,12.14
10.9,2108324,12.09
10.68,2523250,12.05
10.52,3072944,12.0
10.49,3431111,11.95
10.08,3558609,11.9
9.8,2669761,11.85
10.14,3152490,11.8
10.29,2859329,11.76
9.74,1953286,11.7
9.95,3115303,11.65
9.95,1972438,11.59
9.84,1910227,11.54
9.85,3479622,11.48
7.4,22626071,11.42
6.91,11504701,11.36
7.08,9180107,11.31
7.27,5401872,11.25
7.5,6639242,11.2
7.52,5804496,11.15
7.54,2904625,11.09
7.67,2990602,11.04
7.56,3640112,11.0
7.61,4268094,10.95
8.12,6380891,10.91
7.84,2839897,10.85
7.96,2732251,10.81
7.73,3150812,10.76
7.91,2404979,10.72
7.97,2561276,10.66
7.86,2041220,10.61
7.76,2240435,10.56
